id,fb_chat_id,processed_at,message_count
1,6173bd7d248150e3a44a2f21,2025-08-28 13:42:00,13
2,6173bde5a91c73792bb40861,2025-08-28 13:42:00,9
3,6173bdf3bad3f11c715f7949,2025-08-28 13:42:00,2
4,6173be444bab8f101f5f0710,2025-08-28 13:42:00,8
5,6173bea0d99d10108c3abefb,2025-08-28 13:42:00,4
6,6173bf4584800d4e473f4d16,2025-08-28 13:42:00,6
7,6173bf50a0246416671ce81c,2025-08-28 13:42:00,2
8,6173bf5661bbe34a04810fc6,2025-08-28 13:42:00,6
9,6173bfb5af724010dc06e6c2,2025-08-28 13:42:00,7
10,6173bff1d610bfbb25475dc4,2025-08-28 13:42:00,4
11,6173bffad13e223af48824e3,2025-08-28 13:42:00,3
12,6173c0012e6c965da961c10a,2025-08-28 13:42:00,3
13,6173c0078fa8107cb97a6fd1,2025-08-28 13:42:00,3
14,6173c00810c312417ea241af,2025-08-28 13:42:00,2
15,6173c00a54ecf499d5b1099e,2025-08-28 13:42:00,3
16,6173c00b610b0c6926b35107,2025-08-28 13:42:00,2
17,6173c18e941cb08fe38071ee,2025-08-28 13:42:00,2
18,6173c1910f6baf0f6a5c7a11,2025-08-28 13:42:00,2
19,6173c54cb8eb88ff9b2339ff,2025-08-28 13:42:00,3
20,6173c969f2708c2b6e4c1b8a,2025-08-28 13:42:00,3
21,6173caeabcf2f5fed0316ea0,2025-08-28 13:42:00,3
22,6173cec8328b2a42cbe98e52,2025-08-28 13:42:00,7
23,6173d47473b85310d33d4478,2025-08-28 13:42:00,6
24,6173d6451010c13ae83b1010,2025-08-28 13:42:00,2
25,6173d6567f210ed555df4741,2025-08-28 13:42:00,3
26,6173d831d10109c351df4f27,2025-08-28 13:42:00,2
27,6173d89e00a6a33c17d019ba,2025-08-28 13:42:00,3
28,6173dc4cee157c1ed99fda3a,2025-08-28 13:42:00,2
29,6173e94775a6cbd1b89b3102,2025-08-28 13:42:00,1
30,6173eacb5e8e45e57db97675,2025-08-28 13:42:00,7
31,61740b0d2b00ae159d10837c,2025-08-28 13:42:00,7
32,617410664461925b02ec4fa7,2025-08-28 13:42:00,3
33,6174125d88ddbd5bff1064b7,2025-08-28 13:42:00,2
34,61742a35478ccfd834209b10,2025-08-28 13:42:00,11
35,6174318c839ca19552b13ba2,2025-08-28 13:42:00,2
36,61743567054cef1bcc24b659,2025-08-28 13:42:00,3
37,6174377f591aaa278949e79f,2025-08-28 13:42:00,8
38,61743f5f482ece5610dda3c8,2025-08-28 13:42:00,2
39,617448ed72b6b88ce10d4933,2025-08-28 13:42:00,5
40,61745b1c9f54ec7f889910f1,2025-08-28 13:42:00,11
41,6174ed9bf7ad29710284cdcf,2025-08-28 13:42:00,8
42,6174f0cf5d7164148510eea8,2025-08-28 13:42:00,7
43,6174faccde2cc1d76cb26ccd,2025-08-28 13:42:00,7
